province_territory,climate_zone,metro,sector,vintage,building_type,building_envelope_bin,year,equipment_config_id,equipment_stock_share_pct
MB,all,all,res,ex,row,all,2021,config_hvac_res_001,0.00223
MB,all,all,res,ex,row,all,2021,config_hvac_res_002,0.03258
MB,all,all,res,ex,row,all,2021,config_hvac_res_003,0.19729
MB,all,all,res,ex,row,all,2021,config_hvac_res_004,0.19127
MB,all,all,res,ex,row,all,2021,config_hvac_res_005,0.00179
MB,all,all,res,ex,row,all,2021,config_hvac_res_006,0.00201
MB,all,all,res,ex,row,all,2021,config_hvac_res_007,0.00277
MB,all,all,res,ex,row,all,2021,config_hvac_res_008,0.04042
MB,all,all,res,ex,row,all,2021,config_hvac_res_009,0.24471
MB,all,all,res,ex,row,all,2021,config_hvac_res_010,0.23723
MB,all,all,res,ex,row,all,2021,config_hvac_res_011,0.00221
MB,all,all,res,ex,row,all,2021,config_hvac_res_012,0.00249
MB,all,all,res,ex,row,all,2021,config_hvac_res_013,0.00000
MB,all,all,res,ex,row,all,2021,config_hvac_res_014,0.00025
MB,all,all,res,ex,row,all,2021,config_hvac_res_015,0.02215
MB,all,all,res,ex,row,all,2021,config_hvac_res_016,0.01745
MB,all,all,res,ex,row,all,2021,config_hvac_res_017,0.00043
MB,all,all,res,ex,row,all,2021,config_hvac_res_018,0.00272
MB,all,all,res,ex,row,all,2021,config_hvac_res_019,0.00000
MB,all,all,res,ex,row,all,2021,config_hvac_res_020,0.00000
MB,all,all,res,ex,row,all,2021,config_hvac_res_021,0.00000
MB,all,all,res,ex,row,all,2021,config_hvac_res_022,0.00000
MB,all,all,res,ex,row,all,2021,config_hvac_res_023,0.00000
MB,all,all,res,ex,apt,all,2021,config_hvac_res_001,0.00504
MB,all,all,res,ex,apt,all,2021,config_hvac_res_002,0.05294
MB,all,all,res,ex,apt,all,2021,config_hvac_res_003,0.27541
MB,all,all,res,ex,apt,all,2021,config_hvac_res_004,0.27635
MB,all,all,res,ex,apt,all,2021,config_hvac_res_005,0.00252
MB,all,all,res,ex,apt,all,2021,config_hvac_res_006,0.00284
MB,all,all,res,ex,apt,all,2021,config_hvac_res_007,0.00296
MB,all,all,res,ex,apt,all,2021,config_hvac_res_008,0.03106
MB,all,all,res,ex,apt,all,2021,config_hvac_res_009,0.16159
MB,all,all,res,ex,apt,all,2021,config_hvac_res_010,0.16215
MB,all,all,res,ex,apt,all,2021,config_hvac_res_011,0.00148
MB,all,all,res,ex,apt,all,2021,config_hvac_res_012,0.00166
MB,all,all,res,ex,apt,all,2021,config_hvac_res_013,0.00000
MB,all,all,res,ex,apt,all,2021,config_hvac_res_014,0.00014
MB,all,all,res,ex,apt,all,2021,config_hvac_res_015,0.01236
MB,all,all,res,ex,apt,all,2021,config_hvac_res_016,0.00974
MB,all,all,res,ex,apt,all,2021,config_hvac_res_017,0.00024
MB,all,all,res,ex,apt,all,2021,config_hvac_res_018,0.00152
MB,all,all,res,ex,apt,all,2021,config_hvac_res_019,0.00000
MB,all,all,res,ex,apt,all,2021,config_hvac_res_020,0.00000
MB,all,all,res,ex,apt,all,2021,config_hvac_res_021,0.00000
MB,all,all,res,ex,apt,all,2021,config_hvac_res_022,0.00000
MB,all,all,res,ex,apt,all,2021,config_hvac_res_023,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_001,0.00568
MB,all,all,res,ex,mob,all,2021,config_hvac_res_002,0.19337
MB,all,all,res,ex,mob,all,2021,config_hvac_res_003,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_004,0.14077
MB,all,all,res,ex,mob,all,2021,config_hvac_res_005,0.00114
MB,all,all,res,ex,mob,all,2021,config_hvac_res_006,0.03746
MB,all,all,res,ex,mob,all,2021,config_hvac_res_007,0.00932
MB,all,all,res,ex,mob,all,2021,config_hvac_res_008,0.31763
MB,all,all,res,ex,mob,all,2021,config_hvac_res_009,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_010,0.23123
MB,all,all,res,ex,mob,all,2021,config_hvac_res_011,0.00186
MB,all,all,res,ex,mob,all,2021,config_hvac_res_012,0.06154
MB,all,all,res,ex,mob,all,2021,config_hvac_res_013,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_014,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_015,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_016,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_017,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_018,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_019,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_020,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_021,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_022,0.00000
MB,all,all,res,ex,mob,all,2021,config_hvac_res_023,0.00000
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_001,0.11122
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_002,0.00101
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_003,0.01408
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_004,0.29559
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_005,0.00553
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_006,0.05288
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_007,0.10992
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_008,0.00099
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_009,0.01392
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_010,0.29213
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_011,0.00547
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_012,0.05226
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_013,0.00000
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_014,0.01019
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_015,0.00106
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_016,0.02492
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_017,0.00058
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_018,0.00825
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_019,0.00000
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_020,0.00000
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_021,0.00000
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_022,0.00000
NB,all,all,res,ex,sfd,all,2021,config_hvac_res_023,0.00000
NB,all,all,res,ex,row,all,2021,config_hvac_res_001,0.04369
NB,all,all,res,ex,row,all,2021,config_hvac_res_002,0.00071
NB,all,all,res,ex,row,all,2021,config_hvac_res_003,0.01104
NB,all,all,res,ex,row,all,2021,config_hvac_res_004,0.24076
NB,all,all,res,ex,row,all,2021,config_hvac_res_005,0.00427
NB,all,all,res,ex,row,all,2021,config_hvac_res_006,0.03723
NB,all,all,res,ex,row,all,2021,config_hvac_res_007,0.07896
NB,all,all,res,ex,row,all,2021,config_hvac_res_008,0.00129
NB,all,all,res,ex,row,all,2021,config_hvac_res_009,0.01996
NB,all,all,res,ex,row,all,2021,config_hvac_res_010,0.43509
NB,all,all,res,ex,row,all,2021,config_hvac_res_011,0.00773
NB,all,all,res,ex,row,all,2021,config_hvac_res_012,0.06728
NB,all,all,res,ex,row,all,2021,config_hvac_res_013,0.00000
NB,all,all,res,ex,row,all,2021,config_hvac_res_014,0.01177
NB,all,all,res,ex,row,all,2021,config_hvac_res_015,0.00123
NB,all,all,res,ex,row,all,2021,config_hvac_res_016,0.02880
NB,all,all,res,ex,row,all,2021,config_hvac_res_017,0.00067
NB,all,all,res,ex,row,all,2021,config_hvac_res_018,0.00954
NB,all,all,res,ex,row,all,2021,config_hvac_res_019,0.00000
NB,all,all,res,ex,row,all,2021,config_hvac_res_020,0.00000
NB,all,all,res,ex,row,all,2021,config_hvac_res_021,0.00000
NB,all,all,res,ex,row,all,2021,config_hvac_res_022,0.00000
NB,all,all,res,ex,row,all,2021,config_hvac_res_023,0.00000
NB,all,all,res,ex,apt,all,2021,config_hvac_res_001,0.06362
NB,all,all,res,ex,apt,all,2021,config_hvac_res_002,0.00183
NB,all,all,res,ex,apt,all,2021,config_hvac_res_003,0.01896
NB,all,all,res,ex,apt,all,2021,config_hvac_res_004,0.44084
NB,all,all,res,ex,apt,all,2021,config_hvac_res_005,0.00734
NB,all,all,res,ex,apt,all,2021,config_hvac_res_006,0.06554
NB,all,all,res,ex,apt,all,2021,config_hvac_res_007,0.04040
NB,all,all,res,ex,apt,all,2021,config_hvac_res_008,0.00117
NB,all,all,res,ex,apt,all,2021,config_hvac_res_009,0.01204
NB,all,all,res,ex,apt,all,2021,config_hvac_res_010,0.27997
NB,all,all,res,ex,apt,all,2021,config_hvac_res_011,0.00466
NB,all,all,res,ex,apt,all,2021,config_hvac_res_012,0.04162
NB,all,all,res,ex,apt,all,2021,config_hvac_res_013,0.00000
NB,all,all,res,ex,apt,all,2021,config_hvac_res_014,0.00498
NB,all,all,res,ex,apt,all,2021,config_hvac_res_015,0.00052
NB,all,all,res,ex,apt,all,2021,config_hvac_res_016,0.01218
NB,all,all,res,ex,apt,all,2021,config_hvac_res_017,0.00028
NB,all,all,res,ex,apt,all,2021,config_hvac_res_018,0.00403
NB,all,all,res,ex,apt,all,2021,config_hvac_res_019,0.00000
NB,all,all,res,ex,apt,all,2021,config_hvac_res_020,0.00000
NB,all,all,res,ex,apt,all,2021,config_hvac_res_021,0.00000
NB,all,all,res,ex,apt,all,2021,config_hvac_res_022,0.00000
NB,all,all,res,ex,apt,all,2021,config_hvac_res_023,0.00000
NB,all,all,res,ex,mob,all,2021,config_hvac_res_001,0.02214
