building_genome_id,province_territory,climate_zone,metro,sector,vintage,weather_station,building_type,building_envelope_bin,year,building_genome_gfa,building_genome_qty,unit_gfa,hdd_bal_point,hdd,cdd_bal_point,cdd,load_heating_annual_kwh,load_cooling_annual_kwh,load_dhw_annual_kwh,load_lighting_annual_kwh,load_cooking_annual_kwh,load_dryer_annual_kwh,load_appliances_annual_kwh,load_motors_annual_kwh,load_process_annual_kwh,heating_bin_min_eui_kwh_per_sqm,heating_bin_max_eui_kwh_per_sqm
14782,AB,6,Medicine Hat,com,ex,AB CZ6 - Medicine Hat,university,-1,2021,0.01577,2,7572.48611967921,hdd_16,3976.7125,cdd_14,891.6375,1158110.87473116,184867.912473112,151400.820416178,334090.501236633,0,0,0,115646.711966527,479496.967082545,135.585296552696,169.48162069087
14783,AB,7A,Red Deer,com,ex,AB CZ7A - Red Deer,university,-1,2021,0.020275,3,7572.48611967921,hdd_16,4984.4375,cdd_14,468.033333,1451583.75748003,97039.8230665972,151400.820416178,334090.501236633,0,0,0,115646.711966527,479496.967082545,169.943498954445,212.429373693057
14784,AB,7B,Wood Buffalo,com,ex,AB CZ7b - Fort McMurray,university,-1,2021,0.013517,2,7572.48611967921,hdd_16,5548.63125,cdd_14,496.7875,1615890.05755336,103001.576389212,151400.820416178,334090.501236633,0,0,0,115646.711966527,479496.967082545,189.179583259491,236.474479074363
14785,BC,4,Abbotsford - Mission,com,ex,BC CZ4 - Abbotsford - Mission,university,-1,2021,0.023381,3,7572.48611967921,hdd_16,2422.6125,cdd_14,631.5,557968.184956612,291550.043075787,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,65.3238679257486,81.6548349071858
14786,BC,4,Chilliwack,com,ex,BC CZ4 - Abbotsford - Mission,university,-1,2021,0.016465,2,7572.48611967921,hdd_16,2422.6125,cdd_14,631.5,557968.184956612,291550.043075787,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,65.3238679257486,81.6548349071858
14787,BC,5,Courtenay,com,ex,BC CZ5 - Courtenay,university,-1,2021,0.010538,1,7572.48611967921,hdd_16,2378.470833,cdd_14,581.508333,547801.620631137,268469.959675501,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,64.1336220960378,80.1670276200472
14788,BC,5,Kamloops,com,ex,BC CZ5 - Kamloops,university,-1,2021,0.017453,2,7572.48611967921,hdd_16,3041.608333,cdd_14,982.779167,700533.280049086,453728.121097127,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,82.0146106844361,102.518263355545
14789,BC,5,Kelowna,com,ex,BC CZ5 - Kelowna,university,-1,2021,0.033918,4,7572.48611967921,hdd_16,3247.1875,cdd_14,910.9625,747881.601200687,420571.902003842,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,87.5578935467979,109.447366933497
14790,BC,4,Nanaimo,com,ex,BC CZ4 - Nanaimo,university,-1,2021,0.017782,2,7572.48611967921,hdd_16,2486.1625,cdd_14,696.058333,572604.813040547,321355.244607142,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,67.037444408443,83.7968055105537
14791,BC,6,Prince George,com,ex,BC CZ6 - Prince George,university,-1,2021,0.013831,2,7572.48611967921,hdd_16,4488.575,cdd_14,399.3875,1033793.90876239,184388.666395773,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,121.030945095354,151.288681369192
14792,BC,4,Vancouver,com,ex,BC CZ4 - Vancouver,university,-1,2021,0.35038,46,7572.48611967921,hdd_16,2278.241667,cdd_14,510.152083,524717.167037038,235526.305263424,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,61.4310203377739,76.7887754222174
14793,BC,5,Vernon,com,ex,BC CZ5 - Kelowna,university,-1,2021,0.010538,1,7572.48611967921,hdd_16,3247.1875,cdd_14,910.9625,747881.601200687,420571.902003842,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,87.5578935467979,109.447366933497
14794,BC,4,Victoria,com,ex,BC CZ4 - Victoria,university,-1,2021,0.060921,8,7572.48611967921,hdd_16,2338.954167,cdd_14,447.439583,538700.271404401,206573.285348317,78084.2225966394,313740.164577212,0,0,0,114087.332573532,307308.491203379,63.0680858327477,78.8351072909346
14795,MB,7A,Winnipeg,com,ex,MB CZ7a - Winnipeg,university,-1,2021,0.140125,19,7572.48611967921,hdd_16,4635.485417,cdd_14,855.722917,1277345.33886416,276173.417810053,114501.931618659,285540.976605135,0,0,0,95180.3255350448,328967.000130499,149.544616451602,186.930770564503
14796,NB,6,Fredericton,com,ex,NB CZ6 - Fredericton,university,-1,2021,0.016355,2,7572.48611967921,hdd_16,3566.672917,cdd_14,668.5125,462329.643484984,557554.983001799,86999.0477757214,384951.538830626,0,0,0,82489.6154637055,351735.72033724,54.1270297902738,67.6587872378423
14797,NB,6,Moncton,com,ex,NB CZ6 - Moncton,university,-1,2021,0.023698,3,7572.48611967921,hdd_16,3627.8125,cdd_14,630.8,470254.85621657,526101.880335124,86999.0477757214,384951.538830626,0,0,0,82489.6154637055,351735.72033724,55.0548704158139,68.8185880197673
14798,NB,6,Saint John,com,ex,NB CZ6 - Saint John,university,-1,2021,0.019693,3,7572.48611967921,hdd_16,3589.81875,cdd_14,449.008333,465329.919924141,374483.399298414,86999.0477757214,384951.538830626,0,0,0,82489.6154637055,351735.72033724,54.4782857706976,68.097857213372
14799,NL,6,St. John's,com,ex,NL CZ6 - St. John's,university,-1,2021,0.032043,4,7572.48611967921,hdd_16,3707.097917,cdd_14,294.99375,509368.048378157,471896.502350444,86999.0477757214,384951.538830626,0,0,0,82489.6154637055,351735.72033724,59.6340293496098,74.5425366870122
14800,NS,6,Cape Breton,com,ex,NS CZ6 - Cape Breton,university,-1,2021,0.015688,2,7572.48611967921,hdd_16,3390.189583,cdd_14,484.120833,538562.041692892,404109.711411193,86999.0477757214,384951.538830626,0,0,0,82489.6154637055,351735.72033724,63.0519026530227,78.8148783162783
